,ground truth outcome
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0032,True
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0033,True
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0034,True
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0035,False
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0036,True
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0037,False
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0038,False
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0039,False
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0040,True
pilot_it2_collision_assorted_targets_box_2_dis_2_occ_0041,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0000,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0001,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0002,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0003,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0004,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0005,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0006,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0007,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0008,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0009,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0010,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0011,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0012,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0013,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0014,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0015,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0016,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0017,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0018,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0019,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0020,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0021,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0022,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0023,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0024,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0025,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0026,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0027,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0028,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0029,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0030,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0031,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0032,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0033,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0034,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0035,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0036,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0037,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0038,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0039,False
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0040,True
pilot_it2_collision_assorted_targets_tdw_1_dis_1_occ_0041,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0000,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0001,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0002,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0003,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0004,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0005,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0006,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0007,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0008,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0009,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0010,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0011,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0012,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0013,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0014,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0015,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0016,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0017,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0018,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0019,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0020,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0021,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0022,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0023,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0024,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0025,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0026,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0027,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0028,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0029,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0030,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0031,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0032,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0033,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0034,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0035,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0036,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0037,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0038,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0039,False
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0040,True
pilot_it2_collision_assorted_targets_tdw_2_dis_2_occ_0041,False
pilot_it2_collision_non-sphere_box_0000,True
pilot_it2_collision_non-sphere_box_0001,True
pilot_it2_collision_non-sphere_box_0002,True
pilot_it2_collision_non-sphere_box_0003,False
pilot_it2_collision_non-sphere_box_0004,True
pilot_it2_collision_non-sphere_box_0005,True
pilot_it2_collision_non-sphere_box_0006,False
pilot_it2_collision_non-sphere_box_0007,False
pilot_it2_collision_non-sphere_box_0008,True
pilot_it2_collision_non-sphere_box_0009,True
pilot_it2_collision_non-sphere_box_0010,True
pilot_it2_collision_non-sphere_box_0011,True
pilot_it2_collision_non-sphere_box_0012,True
pilot_it2_collision_non-sphere_box_0013,True
pilot_it2_collision_non-sphere_box_0014,True
pilot_it2_collision_non-sphere_box_0015,False
pilot_it2_collision_non-sphere_box_0016,True
pilot_it2_collision_non-sphere_box_0017,False
pilot_it2_collision_non-sphere_box_0018,False
pilot_it2_collision_non-sphere_box_0019,False
pilot_it2_collision_non-sphere_box_0020,True
pilot_it2_collision_non-sphere_box_0021,True
pilot_it2_collision_non-sphere_box_0022,True
pilot_it2_collision_non-sphere_box_0023,False
pilot_it2_collision_non-sphere_box_0024,True
pilot_it2_collision_non-sphere_box_0025,False
pilot_it2_collision_non-sphere_box_0026,True
pilot_it2_collision_non-sphere_box_0027,False
pilot_it2_collision_non-sphere_box_0028,True
pilot_it2_collision_non-sphere_box_0029,False
pilot_it2_collision_non-sphere_box_0030,True
pilot_it2_collision_non-sphere_box_0031,False
pilot_it2_collision_non-sphere_box_0032,False
pilot_it2_collision_non-sphere_box_0033,False
pilot_it2_collision_non-sphere_box_0034,True
pilot_it2_collision_non-sphere_box_0035,True
pilot_it2_collision_non-sphere_box_0036,True
pilot_it2_collision_non-sphere_box_0037,False
pilot_it2_collision_non-sphere_box_0038,False
pilot_it2_collision_non-sphere_box_0039,False
pilot_it2_collision_non-sphere_box_0040,False
pilot_it2_collision_non-sphere_box_0041,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0000,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0001,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0002,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0003,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0004,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0005,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0006,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0007,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0008,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0009,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0010,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0011,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0012,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0013,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0014,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0015,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0016,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0017,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0018,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0019,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0020,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0021,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0022,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0023,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0024,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0025,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0026,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0027,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0028,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0029,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0030,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0031,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0032,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0033,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0034,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0035,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0036,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0037,True
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0038,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0039,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0040,False
pilot_it2_collision_non-sphere_box_1_dis_1_occ_0041,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0000,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0001,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0002,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0003,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0004,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0005,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0006,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0007,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0008,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0009,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0010,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0011,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0012,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0013,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0014,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0015,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0016,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0017,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0018,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0019,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0020,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0021,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0022,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0023,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0024,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0025,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0026,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0027,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0028,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0029,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0030,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0031,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0032,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0033,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0034,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0035,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0036,True
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0037,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0038,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0039,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0040,False
pilot_it2_collision_non-sphere_box_2_dis_2_occ_0041,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0000,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0001,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0002,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0003,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0004,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0005,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0006,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0007,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0008,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0009,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0010,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0011,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0012,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0013,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0014,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0015,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0016,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0017,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0018,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0019,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0020,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0021,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0022,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0023,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0024,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0025,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0026,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0027,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0028,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0029,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0030,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0031,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0032,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0033,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0034,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0035,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0036,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0037,True
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0038,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0039,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0040,False
pilot_it2_collision_non-sphere_tdw_1_dis_1_occ_0041,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0000,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0001,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0002,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0003,False
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0004,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0005,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0006,False
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0007,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0008,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0009,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0010,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0011,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0012,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0013,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0014,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0015,False
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0016,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0017,False
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0018,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0019,False
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0020,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0021,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0022,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0023,False
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0024,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0025,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0026,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0027,False
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0028,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0029,False
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0030,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0031,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0032,False
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0033,False
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0034,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0035,False
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0036,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0037,True
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0038,False
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0039,False
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0040,False
pilot_it2_collision_non-sphere_tdw_2_dis_2_occ_0041,True
pilot_it2_collision_simple_box_0000,False
pilot_it2_collision_simple_box_0001,True
pilot_it2_collision_simple_box_0002,True
pilot_it2_collision_simple_box_0003,False
pilot_it2_collision_simple_box_0004,True
pilot_it2_collision_simple_box_0005,True
pilot_it2_collision_simple_box_0006,False
pilot_it2_collision_simple_box_0007,True
pilot_it2_collision_simple_box_0008,True
pilot_it2_collision_simple_box_0009,False
pilot_it2_collision_simple_box_0010,True
pilot_it2_collision_simple_box_0011,True
pilot_it2_collision_simple_box_0012,True
pilot_it2_collision_simple_box_0013,True
pilot_it2_collision_simple_box_0014,True
pilot_it2_collision_simple_box_0015,False
pilot_it2_collision_simple_box_0016,True
pilot_it2_collision_simple_box_0017,False
pilot_it2_collision_simple_box_0018,False
pilot_it2_collision_simple_box_0019,False
